antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
audio,watches_gifts,0.01201923076923077,0.055288461538461536,0.01201923076923077,1.0,18.086956521739133,1.0,0.01135470599112426,inf,0.9562043795620437,0.2173913043478261,1.0,0.6086956521739131
pet_shop,others,0.016826923076923076,0.055288461538461536,0.007211538461538462,0.4285714285714286,7.751552795031057,1.0,0.00628120377218935,1.6532451923076923,0.8859005704971475,0.11111111111111113,0.39512904398400583,0.27950310559006214
perfumery,health_beauty,0.03365384615384615,0.07692307692307693,0.014423076923076924,0.4285714285714286,5.571428571428571,1.0,0.01183431952662722,1.6153846153846156,0.8490878938640133,0.15000000000000002,0.380952380952381,0.3080357142857143
construction_tools_lights,sports_leisure,0.019230769230769232,0.08173076923076923,0.007211538461538462,0.375,4.588235294117647,1.0,0.005639792899408284,1.4692307692307691,0.7973856209150327,0.07692307692307693,0.3193717277486911,0.23161764705882354
construction_tools_construction,garden_tools,0.016826923076923076,0.0985576923076923,0.007211538461538462,0.4285714285714286,4.34843205574913,1.0,0.005553115754437871,1.5775240384615385,0.7832110839445804,0.06666666666666668,0.36609523809523814,0.25087108013937287
computers_accessories,garden_tools,0.052884615384615384,0.0985576923076923,0.016826923076923076,0.3181818181818182,3.2283813747228383,1.0,0.011614737426035502,1.3221153846153846,0.728788977519942,0.125,0.24363636363636365,0.24445676274944567
toys,baby,0.052884615384615384,0.12740384615384615,0.021634615384615384,0.40909090909090906,3.2109777015437393,1.0,0.014896911982248521,1.4767011834319526,0.7270163564579809,0.13636363636363638,0.3228149261207112,0.28945111492281306
telephony,cool_stuff,0.026442307692307692,0.11778846153846154,0.009615384615384616,0.36363636363636365,3.0871985157699444,1.0,0.0065007858727810655,1.3863324175824177,0.6944444444444445,0.07142857142857144,0.27867228139707706,0.22263450834879406
cool_stuff,baby,0.11778846153846154,0.12740384615384615,0.04326923076923077,0.3673469387755102,2.8833269156719297,1.0,0.02826252773668639,1.379264888337469,0.7403875264910688,0.21428571428571427,0.27497610614493734,0.35348479014247214
baby,cool_stuff,0.12740384615384615,0.11778846153846154,0.04326923076923077,0.339622641509434,2.8833269156719297,1.0,0.02826252773668639,1.3359203296703297,0.7485460667278849,0.21428571428571427,0.2514523674875328,0.35348479014247214
home_confort,bed_bath_table,0.0985576923076923,0.30528846153846156,0.08653846153846154,0.8780487804878049,2.8761282888419433,1.0,0.05644993528106508,5.696634615384616,0.7236296296296296,0.27272727272727276,0.8244577601485358,0.5807566737084694
construction_tools_lights,furniture_decor,0.019230769230769232,0.27884615384615385,0.009615384615384616,0.5,1.793103448275862,1.0,0.004252958579881657,1.4423076923076923,0.45098039215686275,0.03333333333333334,0.30666666666666664,0.2672413793103448
home_construction,furniture_decor,0.026442307692307692,0.27884615384615385,0.01201923076923077,0.4545454545454546,1.6300940438871474,1.0,0.0046458949704142015,1.3221153846153848,0.397037037037037,0.04098360655737705,0.24363636363636368,0.24882445141065834
market_place,furniture_decor,0.016826923076923076,0.27884615384615385,0.007211538461538462,0.4285714285714286,1.536945812807882,1.0,0.0025194156804733735,1.2620192307692308,0.35533822330888354,0.024999999999999998,0.20761904761904765,0.22721674876847292
bed_bath_table,furniture_decor,0.30528846153846156,0.27884615384615385,0.11538461538461539,0.3779527559055118,1.3554167797990768,1.0,0.030256102071005916,1.159323271665044,0.37745098039215685,0.24615384615384617,0.1374278215223097,0.3958729296768938
furniture_decor,bed_bath_table,0.27884615384615385,0.30528846153846156,0.11538461538461539,0.41379310344827586,1.3554167797990766,1.0,0.030256102071005916,1.1850961538461537,0.36361111111111105,0.24615384615384617,0.15618661257606486,0.3958729296768938
office_furniture,bed_bath_table,0.026442307692307692,0.30528846153846156,0.009615384615384616,0.36363636363636365,1.191123836793128,1.0,0.0015428531804733726,1.0916895604395604,0.1648148148148148,0.029850746268656716,0.0839886756841774,0.19756621331424482
