antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
costruction_tools_garden,others,0.02127659574468085,0.15425531914893617,0.015957446808510637,0.75,4.862068965517241,1.0,0.012675418741511995,3.382978723404255,0.8115942028985508,0.09999999999999999,0.7044025157232704,0.4267241379310345
perfumery,health_beauty,0.05319148936170213,0.0797872340425532,0.015957446808510637,0.3,3.76,1.0,0.01171344499773653,1.3145896656534957,0.7752808988764045,0.13636363636363635,0.23930635838150285,0.25
fashion_bags_accessories,others,0.0851063829787234,0.15425531914893617,0.047872340425531915,0.5625,3.646551724137931,1.0,0.034744228157537346,1.9331306990881458,0.7932816537467701,0.25,0.4827044025157233,0.4364224137931034
others,fashion_bags_accessories,0.15425531914893617,0.0851063829787234,0.047872340425531915,0.3103448275862069,3.646551724137931,1.0,0.034744228157537346,1.326595744680851,0.8581411600279525,0.25,0.24619085805934243,0.4364224137931034
toys,baby,0.0851063829787234,0.10638297872340426,0.031914893617021274,0.375,3.525,1.0,0.02286102308736985,1.429787234042553,0.7829457364341085,0.19999999999999998,0.30059523809523814,0.3375
baby,toys,0.10638297872340426,0.0851063829787234,0.031914893617021274,0.3,3.525,1.0,0.02286102308736985,1.3069908814589666,0.8015873015873016,0.19999999999999998,0.23488372093023255,0.3375
telephony,computers_accessories,0.06914893617021277,0.09574468085106383,0.02127659574468085,0.30769230769230765,3.2136752136752134,1.0,0.014655952919873245,1.306146572104019,0.74,0.14814814814814817,0.23438914027149316,0.2649572649572649
health_beauty,bed_bath_table,0.0797872340425532,0.18617021276595744,0.031914893617021274,0.39999999999999997,2.1485714285714286,1.0,0.017060887279311904,1.356382978723404,0.5809248554913294,0.13636363636363635,0.26274509803921564,0.2857142857142857
bed_bath_table,furniture_decor,0.18617021276595744,0.19148936170212766,0.06914893617021277,0.37142857142857144,1.9396825396825397,1.0,0.03349932095971028,1.286266924564797,0.595274007038713,0.22413793103448282,0.22255639097744362,0.3662698412698413
furniture_decor,bed_bath_table,0.19148936170212766,0.18617021276595744,0.06914893617021277,0.3611111111111111,1.9396825396825397,1.0,0.03349932095971028,1.2738205365402406,0.5991902834008098,0.22413793103448282,0.214960058097313,0.3662698412698413
